Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
24/04/2020,Ogun,30,5,1
24/04/2020,Katsina,21,0,1
24/04/2020,Osun,20,18,0
24/04/2020,Edo,19,7,3
24/04/2020,Oyo,18,5,1
24/04/2020,Borno,12,0,2
24/04/2020,Akwa Ibom,11,3,1
24/04/2020,Kwara,11,2,0
24/04/2020,Kaduna,10,4,0
24/04/2020,Bauchi,8,5,0
24/04/2020,Delta,6,0,1
24/04/2020,Ekiti,4,2,1
24/04/2020,Ondo,3,2,0
24/04/2020,Rivers,3,2,1
24/04/2020,Abia,2,0,0
24/04/2020,Enugu,2,2,0
24/04/2020,Jigawa,2,0,0
24/04/2020,Niger,2,0,0
24/04/2020,Sokoto,2,0,0
24/04/2020,Zamfara,2,0,0
24/04/2020,Adamawa,1,0,0
24/04/2020,Anambra,1,0,0
24/04/2020,Benue,1,0,0
24/04/2020,Plateau,1,0,0
25/04/2020,Lagos,689,122,19
25/04/2020,FCT,138,35,3
25/04/2020,Kano,77,0,1
25/04/2020,Ogun,35,5,1
25/04/2020,Osun,32,18,0
25/04/2020,Borno,30,0,2
25/04/2020,Gombe,30,0,0
25/04/2020,Katsina,30,4,1
25/04/2020,Edo,22,7,3
25/04/2020,Oyo,18,5,1
25/04/2020,Akwa Ibom,11,6,1
25/04/2020,Bauchi,11,5,0
25/04/2020,Kwara,11,2,0
25/04/2020,Kaduna,10,4,0
25/04/2020,Ekiti,8,2,1
25/04/2020,Delta,6,0,1
25/04/2020,Ondo,4,2,0
25/04/2020,Rivers,3,2,1
25/04/2020,Abia,2,0,0
25/04/2020,Enugu,2,2,0
25/04/2020,Jigawa,2,0,0
25/04/2020,Niger,2,0,0
25/04/2020,Sokoto,2,0,0
25/04/2020,Zamfara,2,0,0
25/04/2020,Adamawa,1,0,0
25/04/2020,Anambra,1,1,0
25/04/2020,Benue,1,0,0
25/04/2020,Imo,1,0,0
25/04/2020,Plateau,1,0,0
26/04/2020,Lagos,731,128,19
26/04/2020,FCT,141,35,3
26/04/2020,Kano,77,0,1
26/04/2020,Gombe,35,0,0
26/04/2020,Ogun,35,5,1
26/04/2020,Osun,34,18,2
26/04/2020,Borno,30,0,2
26/04/2020,Katsina,30,4,2
26/04/2020,Edo,25,8,3
26/04/2020,Oyo,21,9,2
26/04/2020,Kaduna,15,6,0
26/04/2020,Bauchi,14,6,0
26/04/2020,Akwa,12,9,1
26/04/2020,Kwara,11,2,0
26/04/2020,Sokoto,10,0,0
26/04/2020,Ekiti,8,2,1
26/04/2020,Ondo,8,2,0
26/04/2020,Delta,6,0,1
26/04/2020,Rivers,6,2,2
26/04/2020,Taraba,6,0,0
26/04/2020,Abia,2,0,0
26/04/2020,Enugu,2,0,0
26/04/2020,Jigawa,2,0,0
26/04/2020,Niger,2,0,0
